actual	baseline	metrics	method	q
0.48681863230921707	0.48681863230921707	retention	ClusTCR	0
0.6248269497000462	0.5594139363174896	purity	ClusTCR	0
0.37207207207207205	0.1873873873873874	purity_90	ClusTCR	0
0.06275957544993079	0.025842178126442086	consistency	ClusTCR	0
0.7011562603237529	0.7011562603237529	retention	GLIPH2	0
0.6374988810312416	0.5825798943693492	purity	GLIPH2	0
0.3154643284176963	0.1831406935033878	purity_90	GLIPH2	0
0.01830632888729747	0.010563065079222987	consistency	GLIPH2	0
0.42272034544069087	0.42272034544069087	retention	iSMART	0
0.6388996512979466	0.5698049851478755	purity	iSMART	0
0.37129380053908356	0.22439353099730458	purity_90	iSMART	0
0.06199147617202635	0.03487020534676482	consistency	iSMART	0
0.32650273224043713	0.32650273224043713	retention	ClusTCR	1
0.889344262295082	0.4180327868852459	purity	ClusTCR	1
0.7083333333333334	0.041666666666666664	purity_90	ClusTCR	1
0.4426229508196721	0.16393442622950818	consistency	ClusTCR	1
0.47404371584699456	0.47404371584699456	retention	GLIPH2	1
0.7619047619047619	0.4069264069264069	purity	GLIPH2	1
0.46308724832214765	0.06711409395973154	purity_90	GLIPH2	1
0.2554112554112554	0.12337662337662338	consistency	GLIPH2	1
0.32705248990578734	0.32705248990578734	retention	iSMART	1
0.8692307692307693	0.5384615384615384	purity	iSMART	1
0.8034188034188035	0.4188034188034188	purity_90	iSMART	1
0.3038461538461538	0.19230769230769232	consistency	iSMART	1
0.2411556603773585	0.2411556603773585	retention	TCRDist	1
0.5617070357554786	0.37254901960784315	purity	TCRDist	1
0.2682926829268293	0.020905923344947737	purity_90	TCRDist	1
0.23414071510957324	0.14763552479815456	consistency	TCRDist	1
0.1945945945945946	0.1945945945945946	retention	ClusTCR	2
0.9166666666666666	0.4444444444444444	purity	ClusTCR	2
0.8	0.06666666666666667	purity_90	ClusTCR	2
0.6944444444444444	0.3333333333333333	consistency	ClusTCR	2
0.2810810810810811	0.2810810810810811	retention	GLIPH2	2
0.8333333333333334	0.5185185185185185	purity	GLIPH2	2
0.6086956521739131	0.08695652173913043	purity_90	GLIPH2	2
0.5555555555555556	0.3148148148148148	consistency	GLIPH2	2
0.19148936170212766	0.19148936170212766	retention	iSMART	2
0.7608695652173914	0.5869565217391305	purity	iSMART	2
0.9130434782608695	0.5217391304347826	purity_90	iSMART	2
0.43478260869565216	0.41304347826086957	consistency	iSMART	2
0.6292246520874751	0.6292246520874751	retention	TCRDist	2
0.3542234332425068	0.2574931880108992	purity	TCRDist	2
0.15748031496062992	0.015748031496062992	purity_90	TCRDist	2
0.16893732970027248	0.15803814713896458	consistency	TCRDist	2
