avg_cluster_size	consistency	t	combo
75	0.19342059269041054	1.7989757061004639	z
80	0.19330407426107896	1.962576150894165	z
85	0.19309045714063774	1.7098731994628906	z
90	0.19375072824018333	1.891045331954956	z
95	0.1938672466695149	1.6901414394378662	z
100	0.19340117295218862	2.0659327507019043	z
105	0.21016040703771313	1.7071514129638672	z
110	0.19361479007262983	1.6737685203552246	z
115	0.21192760321590864	1.6852028369903564	z
120	0.21214122033634986	1.6787831783294678	z
125	0.19567328232415426	1.7451469898223877	z
130	0.21254903483901036	1.696199655532837	z
135	0.21291800986522702	1.8854765892028809	z
140	0.20330523944537227	1.671884536743164	z
145	0.20328581970715034	1.5900895595550537	z
150	0.20299452363382142	1.6456124782562256	z
155	0.2128403309123393	1.7197606563568115	z
160	0.2021012156756127	1.680790901184082	z
165	0.20204295646094692	1.729161262512207	z
170	0.2171515127976075	1.606199026107788	z
175	0.20996620965549384	1.6353442668914795	z
180	0.20239251174894163	1.614351511001587	z
185	0.2193847826931293	1.7372512817382812	z
190	0.21942362216957315	1.8632380962371826	z
195	0.22136559599176603	1.9807372093200684	z
5	0.12848098807628072	27.99000120162964	pI + z
10	0.14700741834000078	25.157490730285645	pI + z
15	0.1452013826853614	24.250380754470825	pI + z
20	0.18079776284615684	23.82958698272705	pI + z
25	0.18229308268924535	22.597875118255615	pI + z
30	0.18712859750650562	22.790592908859253	pI + z
35	0.18938128714024935	22.99781560897827	pI + z
40	0.19142035965355186	22.16712737083435	pI + z
45	0.19165339651221502	22.06548547744751	pI + z
50	0.19029401483668001	22.525617599487305	pI + z
55	0.1915757175593273	22.993982553482056	pI + z
60	0.19188643337087816	22.308541297912598	pI + z
65	0.19279916106730882	22.177250146865845	pI + z
70	0.19324581504641317	22.30417013168335	pI + z
75	0.19287684002019653	22.892905473709106	pI + z
80	0.19283800054375266	22.22066330909729	pI + z
85	0.19310987687885967	22.103899002075195	pI + z
90	0.20262554860760476	21.94888210296631	pI + z
95	0.20404318949780556	21.946500062942505	pI + z
100	0.20516953431467744	22.212448596954346	pI + z
105	0.21915174583446614	21.92959713935852	pI + z
110	0.21928768400201964	22.195188760757446	pI + z
115	0.2202004116984503	22.14633083343506	pI + z
120	0.2204722880335573	21.737948656082153	pI + z
125	0.22070532489222044	22.131623029708862	pI + z
130	0.2213267565153222	22.107173442840576	pI + z
135	0.2205305472482231	22.15826177597046	pI + z
140	0.22105488018021516	22.84474539756775	pI + z
145	0.22157921311220724	21.907243251800537	pI + z
150	0.22165689206509495	22.108493089675903	pI + z
155	0.22225890394997475	22.57949686050415	pI + z
160	0.21680195750961276	21.82475781440735	pI + z
165	0.21790888258826271	22.433725357055664	pI + z
170	0.2182972773527013	22.526246309280396	pI + z
175	0.21812249970870393	22.121195077896118	pI + z
180	0.21625820483939875	22.219729900360107	pI + z
185	0.2218705091855362	21.95567011833191	pI + z
190	0.2237736435312852	22.702537775039673	pI + z
195	0.22736629510234202	21.872472763061523	pI + z
5	0.12743232221229658	7.588863134384155	ms + z
10	0.14605585116712627	4.325493335723877	ms + z
15	0.1475705907484367	3.3930282592773438	ms + z
20	0.18835204101448713	2.9816040992736816	ms + z
25	0.18862391734959413	2.986521005630493	ms + z
30	0.18745873305627841	3.0825273990631104	ms + z
35	0.18973084242824406	2.5087053775787354	ms + z
40	0.19225540839709482	2.4469666481018066	ms + z
45	0.19291567949664037	2.4189319610595703	ms + z
50	0.19176991494154658	2.330136299133301	ms + z
55	0.20866508719462462	2.473264455795288	ms + z
60	0.20839321085951762	2.6265358924865723	ms + z
65	0.20779119897463783	2.2901968955993652	ms + z
