avg_cluster_size	Consistency	t
5	0.12902474074649473	27.295937299728394
10	0.146949159125335	24.657429695129395
15	0.14792014603643142	22.89291524887085
20	0.18153571289859013	22.88187527656555
25	0.18291451431234707	22.622329235076904
30	0.18681788169495475	23.244898796081543
35	0.18883753447003535	22.311850547790527
40	0.19151745834466152	22.176105976104736
45	0.19188643337087816	21.658547401428223
50	0.19206121101487553	21.798404216766357
55	0.19027459509845807	21.612071752548218
60	0.19142035965355186	21.954817056655884
65	0.19318755583174738	22.60466241836548
70	0.19363420981085175	22.364718914031982
75	0.19380898745484912	22.312456369400024
80	0.19388666640773683	22.159764766693115
85	0.19312929661708161	22.014376640319824
90	0.20198469724628113	22.557810068130493
95	0.20229541305783197	22.08063793182373
100	0.20336349866003806	22.16347646713257
