actual	baseline	metrics	t	method
0.3717948717948718	0.11538461538461539	purity_90	0.7633993625640869	ClusTCR
0.32972972972972975	0.21081081081081082	consistency	0.7633993625640869	ClusTCR
0.0669409124906507	0.0669409124906507	retention	0.49436020851135254	Greedy
0.6263736263736264	0.5164835164835165	purity	0.49436020851135254	Greedy
0.3	0.11428571428571428	purity_90	0.49436020851135254	Greedy
0.21978021978021978	0.17582417582417584	consistency	0.49436020851135254	Greedy
0.0669409124906507	0.0669409124906507	retention	0.602250337600708	ClusTCR
0.6263736263736264	0.489010989010989	purity	0.602250337600708	ClusTCR
0.3	0.11428571428571428	purity_90	0.602250337600708	ClusTCR
0.22527472527472528	0.15934065934065933	consistency	0.602250337600708	ClusTCR
0.07492795389048991	0.07492795389048991	retention	0.49228429794311523	Greedy
0.6824644549763034	0.5213270142180095	purity	0.49228429794311523	Greedy
0.3181818181818182	0.10227272727272728	purity_90	0.49228429794311523	Greedy
0.3033175355450237	0.2037914691943128	consistency	0.49228429794311523	Greedy
0.07492795389048991	0.07492795389048991	retention	0.6082868576049805	ClusTCR
0.6824644549763034	0.5023696682464455	purity	0.6082868576049805	ClusTCR
0.3181818181818182	0.13636363636363635	purity_90	0.6082868576049805	ClusTCR
0.3033175355450237	0.18009478672985782	consistency	0.6082868576049805	ClusTCR
0.07470465601111884	0.07470465601111884	retention	0.4996800422668457	Greedy
0.695852534562212	0.5023041474654378	purity	0.4996800422668457	Greedy
0.38636363636363635	0.09090909090909091	purity_90	0.4996800422668457	Greedy
0.2488479262672811	0.1889400921658986	consistency	0.4996800422668457	Greedy
0.07470465601111884	0.07470465601111884	retention	0.7472431659698486	ClusTCR
0.695852534562212	0.46543778801843316	purity	0.7472431659698486	ClusTCR
0.38636363636363635	0.022727272727272728	purity_90	0.7472431659698486	ClusTCR
0.2488479262672811	0.16129032258064516	consistency	0.7472431659698486	ClusTCR
0.07578806170355466	0.07578806170355466	retention	0.5953207015991211	Greedy
0.6623376623376623	0.49783549783549785	purity	0.5953207015991211	Greedy
0.3793103448275862	0.09195402298850575	purity_90	0.5953207015991211	Greedy
0.2683982683982684	0.18181818181818182	consistency	0.5953207015991211	Greedy
0.07645875251509054	0.07645875251509054	retention	0.5706095695495605	ClusTCR
0.6609442060085837	0.4678111587982833	purity	0.5706095695495605	ClusTCR
0.375	0.10227272727272728	purity_90	0.5706095695495605	ClusTCR
0.26609442060085836	0.1759656652360515	consistency	0.5706095695495605	ClusTCR
0.08284600389863547	0.08284600389863547	retention	0.49607086181640625	Greedy
0.6770428015564203	0.46303501945525294	purity	0.49607086181640625	Greedy
0.4174757281553398	0.05825242718446602	purity_90	0.49607086181640625	Greedy
0.3035019455252918	0.20622568093385213	consistency	0.49607086181640625	Greedy
0.08349577647823261	0.08349577647823261	retention	0.5983936786651611	ClusTCR
0.6756756756756757	0.4555984555984556	purity	0.5983936786651611	ClusTCR
0.41346153846153844	0.038461538461538464	purity_90	0.5983936786651611	ClusTCR
0.2972972972972973	0.19305019305019305	consistency	0.5983936786651611	ClusTCR
0.07316304005045728	0.07316304005045728	retention	0.7041490077972412	Greedy
0.6893617021276596	0.4723404255319149	purity	0.7041490077972412	Greedy
0.4489795918367347	0.061224489795918366	purity_90	0.7041490077972412	Greedy
0.24680851063829787	0.15319148936170213	consistency	0.7041490077972412	Greedy
0.07316304005045728	0.07316304005045728	retention	0.5728840827941895	ClusTCR
0.6893617021276596	0.502127659574468	purity	0.5728840827941895	ClusTCR
0.4489795918367347	0.09183673469387756	purity_90	0.5728840827941895	ClusTCR
0.23829787234042554	0.18723404255319148	consistency	0.5728840827941895	ClusTCR
0.07603053435114504	0.07603053435114504	retention	0.710629940032959	Greedy
0.692	0.524	purity	0.710629940032959	Greedy
0.3904761904761905	0.13333333333333333	purity_90	0.710629940032959	Greedy
0.264	0.176	consistency	0.710629940032959	Greedy
0.07603053435114504	0.07603053435114504	retention	0.6431796550750732	ClusTCR
0.692	0.508	purity	0.6431796550750732	ClusTCR
0.3904761904761905	0.09523809523809523	purity_90	0.6431796550750732	ClusTCR
0.264	0.172	consistency	0.6431796550750732	ClusTCR
0.0685459940652819	0.0685459940652819	retention	0.7011845111846924	Greedy
0.6297872340425532	0.451063829787234	purity	0.7011845111846924	Greedy
0.29545454545454547	0.06818181818181818	purity_90	0.7011845111846924	Greedy
0.28085106382978725	0.19148936170212766	consistency	0.7011845111846924	Greedy
0.0685459940652819	0.0685459940652819	retention	0.6589951515197754	ClusTCR
0.6297872340425532	0.4765957446808511	purity	0.6589951515197754	ClusTCR
0.29545454545454547	0.07954545454545454	purity_90	0.6589951515197754	ClusTCR
0.2851063829787234	0.2	consistency	0.6589951515197754	ClusTCR
0.08980652613341034	0.08980652613341034	retention	0.7047076225280762	Greedy
0.6708860759493671	0.49050632911392406	purity	0.7047076225280762	Greedy
0.3416666666666667	0.10833333333333334	purity_90	0.7047076225280762	Greedy
0.24050632911392406	0.18037974683544303	consistency	0.7047076225280762	Greedy
0.09038406006352873	0.09038406006352873	retention	0.6385879516601562	ClusTCR
0.6729559748427673	0.46855345911949686	purity	0.6385879516601562	ClusTCR
0.34710743801652894	0.0743801652892562	purity_90	0.6385879516601562	ClusTCR
0.2358490566037736	0.17295597484276728	consistency	0.6385879516601562	ClusTCR
0.08422234699606962	0.08422234699606962	retention	0.8002104759216309	Greedy
0.7029702970297029	0.48184818481848185	purity	0.8002104759216309	Greedy
0.40625	0.0625	purity_90	0.8002104759216309	Greedy
0.2376237623762376	0.16501650165016502	consistency	0.8002104759216309	Greedy
0.08422234699606962	0.08422234699606962	retention	0.6068177223205566	ClusTCR
0.7029702970297029	0.49504950495049505	purity	0.6068177223205566	ClusTCR
0.40625	0.078125	purity_90	0.6068177223205566	ClusTCR
0.23432343234323433	0.1617161716171617	consistency	0.6068177223205566	ClusTCR
0.09145839055204615	0.09145839055204615	retention	0.8055458068847656	Greedy
0.632183908045977	0.4942528735632184	purity	0.8055458068847656	Greedy
0.3283582089552239	0.08955223880597014	purity_90	0.8055458068847656	Greedy
0.25287356321839083	0.1896551724137931	consistency	0.8055458068847656	Greedy
0.09145839055204615	0.09145839055204615	retention	0.6219203472137451	ClusTCR
0.632183908045977	0.4827586206896552	purity	0.6219203472137451	ClusTCR
0.3283582089552239	0.07462686567164178	purity_90	0.6219203472137451	ClusTCR
0.25287356321839083	0.1752873563218391	consistency	0.6219203472137451	ClusTCR
0.0796059637912673	0.0796059637912673	retention	0.8096766471862793	Greedy
0.6830065359477124	0.49673202614379086	purity	0.8096766471862793	Greedy
0.452991452991453	0.1111111111111111	purity_90	0.8096766471862793	Greedy
0.24509803921568626	0.19281045751633988	consistency	0.8096766471862793	Greedy
0.08013844515441959	0.08013844515441959	retention	0.6071035861968994	ClusTCR
0.6818181818181818	0.4642857142857143	purity	0.6071035861968994	ClusTCR
0.4491525423728814	0.05084745762711865	purity_90	0.6071035861968994	ClusTCR
0.2435064935064935	0.18506493506493507	consistency	0.6071035861968994	ClusTCR
0.09318063508589276	0.09318063508589276	retention	0.6939377784729004	Greedy
0.6793478260869565	0.45652173913043476	purity	0.6939377784729004	Greedy
0.37681159420289856	0.06521739130434782	purity_90	0.6939377784729004	Greedy
0.23641304347826086	0.14673913043478262	consistency	0.6939377784729004	Greedy
0.09318063508589276	0.09318063508589276	retention	0.614861011505127	ClusTCR
0.6793478260869565	0.47282608695652173	purity	0.614861011505127	ClusTCR
0.37681159420289856	0.07971014492753623	purity_90	0.614861011505127	ClusTCR
0.23641304347826086	0.14402173913043478	consistency	0.614861011505127	ClusTCR
0.08920425747592499	0.08920425747592499	retention	0.8949379920959473	Greedy
0.6033057851239669	0.45454545454545453	purity	0.8949379920959473	Greedy
0.29133858267716534	0.11811023622047244	purity_90	0.8949379920959473	Greedy
0.24793388429752067	0.16804407713498623	consistency	0.8949379920959473	Greedy
0.08971109984794728	0.08971109984794728	retention	0.8769693374633789	ClusTCR
0.6054794520547945	0.4575342465753425	purity	0.8769693374633789	ClusTCR
0.296875	0.078125	purity_90	0.8769693374633789	ClusTCR
0.2465753424657534	0.18356164383561643	consistency	0.8769693374633789	ClusTCR
0.09097651421508035	0.09097651421508035	retention	0.9053449630737305	Greedy
0.6684350132625995	0.46949602122015915	purity	0.9053449630737305	Greedy
0.34074074074074073	0.1111111111111111	purity_90	0.9053449630737305	Greedy
0.22546419098143236	0.14588859416445624	consistency	0.9053449630737305	Greedy
0.09147095179233622	0.09147095179233622	retention	0.7941567897796631	ClusTCR
0.6675461741424802	0.48021108179419525	purity	0.7941567897796631	ClusTCR
0.3382352941176471	0.051470588235294115	purity_90	0.7941567897796631	ClusTCR
0.22955145118733508	0.14511873350923482	consistency	0.7941567897796631	ClusTCR
0.09378776891467247	0.09378776891467247	retention	0.9954986572265625	Greedy
0.6742424242424242	0.4722222222222222	purity	0.9954986572265625	Greedy
0.43448275862068964	0.08275862068965517	purity_90	0.9954986572265625	Greedy
0.25757575757575757	0.17929292929292928	consistency	0.9954986572265625	Greedy
0.09378776891467247	0.09378776891467247	retention	0.6637847423553467	ClusTCR
0.6742424242424242	0.46464646464646464	purity	0.6637847423553467	ClusTCR
0.43448275862068964	0.05517241379310345	purity_90	0.6637847423553467	ClusTCR
0.25757575757575757	0.16414141414141414	consistency	0.6637847423553467	ClusTCR
0.09710792381848107	0.09710792381848107	retention	1.0011873245239258	Greedy
0.6367924528301887	0.4716981132075472	purity	1.0011873245239258	Greedy
0.36875	0.09375	purity_90	1.0011873245239258	Greedy
0.21933962264150944	0.15330188679245282	consistency	1.0011873245239258	Greedy
0.09710792381848107	0.09710792381848107	retention	0.7967944145202637	ClusTCR
0.6367924528301887	0.4740566037735849	purity	0.7967944145202637	ClusTCR
0.36875	0.075	purity_90	0.7967944145202637	ClusTCR
0.21226415094339623	0.14622641509433962	consistency	0.7967944145202637	ClusTCR
0.09604779411764706	0.09604779411764706	retention	1.0095860958099365	Greedy
0.6910377358490566	0.5	purity	1.0095860958099365	Greedy
0.43373493975903615	0.09036144578313253	purity_90	1.0095860958099365	Greedy
0.23820754716981132	0.1580188679245283	consistency	1.0095860958099365	Greedy
0.09604779411764706	0.09604779411764706	retention	0.7319045066833496	ClusTCR
0.6910377358490566	0.49056603773584906	purity	0.7319045066833496	ClusTCR
0.43373493975903615	0.0783132530120482	purity_90	0.7319045066833496	ClusTCR
0.2358490566037736	0.1580188679245283	consistency	0.7319045066833496	ClusTCR
0.09166479442821837	0.09166479442821837	retention	1.001230001449585	Greedy
0.6947115384615384	0.47115384615384615	purity	1.001230001449585	Greedy
0.410958904109589	0.08904109589041095	purity_90	1.001230001449585	Greedy
0.23557692307692307	0.15865384615384615	consistency	1.001230001449585	Greedy
0.09166479442821837	0.09166479442821837	retention	0.7254743576049805	ClusTCR
0.6947115384615384	0.49278846153846156	purity	0.7254743576049805	ClusTCR
0.410958904109589	0.0958904109589041	purity_90	0.7254743576049805	ClusTCR
0.23317307692307693	0.1658653846153846	consistency	0.7254743576049805	ClusTCR
0.09137055837563451	0.09137055837563451	retention	1.0939249992370605	Greedy
0.6737089201877934	0.460093896713615	purity	1.0939249992370605	Greedy
0.3790849673202614	0.06535947712418301	purity_90	1.0939249992370605	Greedy
0.24413145539906103	0.1431924882629108	consistency	1.0939249992370605	Greedy
0.09181196203928492	0.09181196203928492	retention	0.7338776588439941	ClusTCR
0.6728971962616822	0.4462616822429907	purity	0.7338776588439941	ClusTCR
0.37662337662337664	0.03896103896103896	purity_90	0.7338776588439941	ClusTCR
0.24532710280373832	0.1425233644859813	consistency	0.7338776588439941	ClusTCR
0.10500215610176801	0.10500215610176801	retention	1.0867657661437988	Greedy
0.680161943319838	0.46963562753036436	purity	1.0867657661437988	Greedy
0.38857142857142857	0.08	purity_90	1.0867657661437988	Greedy
0.22267206477732793	0.1437246963562753	consistency	1.0867657661437988	Greedy
0.10500215610176801	0.10500215610176801	retention	0.7630283832550049	ClusTCR
0.680161943319838	0.4676113360323887	purity	0.7630283832550049	ClusTCR
0.38857142857142857	0.06857142857142857	purity_90	0.7630283832550049	ClusTCR
0.2165991902834008	0.13360323886639677	consistency	0.7630283832550049	ClusTCR
0.0945031712473573	0.0945031712473573	retention	1.6040105819702148	Greedy
0.6630434782608695	0.4543478260869565	purity	1.6040105819702148	Greedy
0.37333333333333335	0.08	purity_90	1.6040105819702148	Greedy
0.2565217391304348	0.15869565217391304	consistency	1.6040105819702148	Greedy
0.0945031712473573	0.0945031712473573	retention	0.7864866256713867	ClusTCR
0.6630434782608695	0.45652173913043476	purity	0.7864866256713867	ClusTCR
0.37333333333333335	0.1	purity_90	0.7864866256713867	ClusTCR
0.2543478260869565	0.15434782608695652	consistency	0.7864866256713867	ClusTCR
0.10101638664177556	0.10101638664177556	retention	1.1921348571777344	Greedy
0.6198019801980198	0.4633663366336634	purity	1.1921348571777344	Greedy
0.30726256983240224	0.0782122905027933	purity_90	1.1921348571777344	Greedy
0.21782178217821782	0.15445544554455445	consistency	1.1921348571777344	Greedy
0.10184609002281685	0.10184609002281685	retention	0.7058577537536621	ClusTCR
0.618860510805501	0.444007858546169	purity	0.7058577537536621	ClusTCR
0.30386740331491713	0.06077348066298342	purity_90	0.7058577537536621	ClusTCR
0.2180746561886051	0.137524557956778	consistency	0.7058577537536621	ClusTCR
