actual	baseline	metrics	n	dm	t
0.42857142857142855	0.07142857142857142	purity_90	1600	Hamming	0.11214566230773926
0.43661971830985913	0.29577464788732394	consistency	1600	Hamming	0.11214566230773926
0.053125	0.053125	retention	1600	Levenshtein	0.5439825057983398
0.6421052631578947	0.4842105263157895	purity	1600	Levenshtein	0.5439825057983398
0.32432432432432434	0.10810810810810811	purity_90	1600	Levenshtein	0.5439825057983398
0.3894736842105263	0.2631578947368421	consistency	1600	Levenshtein	0.5439825057983398
0.05411764705882353	0.05411764705882353	retention	1700	Hamming	0.12102746963500977
0.6407766990291263	0.5242718446601942	purity	1700	Hamming	0.12102746963500977
0.3333333333333333	0.10256410256410256	purity_90	1700	Hamming	0.12102746963500977
0.4174757281553398	0.30097087378640774	consistency	1700	Hamming	0.12102746963500977
0.058823529411764705	0.058823529411764705	retention	1700	Levenshtein	0.5954296588897705
0.6228070175438597	0.47368421052631576	purity	1700	Levenshtein	0.5954296588897705
0.30952380952380953	0.09523809523809523	purity_90	1700	Levenshtein	0.5954296588897705
0.39473684210526316	0.2719298245614035	consistency	1700	Levenshtein	0.5954296588897705
0.041666666666666664	0.041666666666666664	retention	1800	Hamming	0.11977243423461914
0.6144578313253012	0.5180722891566265	purity	1800	Hamming	0.11977243423461914
0.30303030303030304	0.09090909090909091	purity_90	1800	Hamming	0.11977243423461914
0.3132530120481928	0.24096385542168675	consistency	1800	Hamming	0.11977243423461914
0.04833333333333333	0.04833333333333333	retention	1800	Levenshtein	0.6654057502746582
0.5588235294117647	0.45098039215686275	purity	1800	Levenshtein	0.6654057502746582
0.2702702702702703	0.0	purity_90	1800	Levenshtein	0.6654057502746582
0.29411764705882354	0.2549019607843137	consistency	1800	Levenshtein	0.6654057502746582
0.05421052631578947	0.05421052631578947	retention	1900	Hamming	0.15911078453063965
0.6495726495726496	0.48717948717948717	purity	1900	Hamming	0.15911078453063965
0.3333333333333333	0.06666666666666667	purity_90	1900	Hamming	0.15911078453063965
0.27350427350427353	0.24786324786324787	consistency	1900	Hamming	0.15911078453063965
0.06578947368421052	0.06578947368421052	retention	1900	Levenshtein	0.7608373165130615
0.6170212765957447	0.49645390070921985	purity	1900	Levenshtein	0.7608373165130615
0.3137254901960784	0.1568627450980392	purity_90	1900	Levenshtein	0.7608373165130615
0.24822695035460993	0.22695035460992907	consistency	1900	Levenshtein	0.7608373165130615
0.051	0.051	retention	2000	Hamming	0.15437960624694824
0.6548672566371682	0.4424778761061947	purity	2000	Hamming	0.15437960624694824
0.4186046511627907	0.023255813953488372	purity_90	2000	Hamming	0.15437960624694824
0.30973451327433627	0.19469026548672566	consistency	2000	Hamming	0.15437960624694824
0.069	0.069	retention	2000	Levenshtein	0.8089694976806641
0.5909090909090909	0.487012987012987	purity	2000	Levenshtein	0.8089694976806641
0.32727272727272727	0.10909090909090909	purity_90	2000	Levenshtein	0.8089694976806641
0.2532467532467532	0.18831168831168832	consistency	2000	Levenshtein	0.8089694976806641
0.05523809523809524	0.05523809523809524	retention	2100	Hamming	0.16363120079040527
0.6616541353383458	0.47368421052631576	purity	2100	Hamming	0.16363120079040527
0.46153846153846156	0.057692307692307696	purity_90	2100	Hamming	0.16363120079040527
0.37593984962406013	0.2706766917293233	consistency	2100	Hamming	0.16363120079040527
0.06476190476190476	0.06476190476190476	retention	2100	Levenshtein	0.8929541110992432
0.6217948717948718	0.4551282051282051	purity	2100	Levenshtein	0.8929541110992432
0.41379310344827586	0.05172413793103448	purity_90	2100	Levenshtein	0.8929541110992432
0.34615384615384615	0.25	consistency	2100	Levenshtein	0.8929541110992432
0.04681818181818182	0.04681818181818182	retention	2200	Hamming	0.1590721607208252
0.6666666666666666	0.5083333333333333	purity	2200	Hamming	0.1590721607208252
0.4666666666666667	0.13333333333333333	purity_90	2200	Hamming	0.1590721607208252
0.26666666666666666	0.20833333333333334	consistency	2200	Hamming	0.1590721607208252
0.06136363636363636	0.06136363636363636	retention	2200	Levenshtein	0.9696495532989502
0.6114649681528662	0.4840764331210191	purity	2200	Levenshtein	0.9696495532989502
0.3392857142857143	0.07142857142857142	purity_90	2200	Levenshtein	0.9696495532989502
0.25477707006369427	0.21019108280254778	consistency	2200	Levenshtein	0.9696495532989502
0.04652173913043478	0.04652173913043478	retention	2300	Hamming	0.1833631992340088
0.7142857142857143	0.4789915966386555	purity	2300	Hamming	0.1833631992340088
0.5416666666666666	0.020833333333333332	purity_90	2300	Hamming	0.1833631992340088
0.3697478991596639	0.25210084033613445	consistency	2300	Hamming	0.1833631992340088
0.06347826086956522	0.06347826086956522	retention	2300	Levenshtein	1.1066031455993652
0.6625766871165644	0.5030674846625767	purity	2300	Levenshtein	1.1066031455993652
0.453125	0.09375	purity_90	2300	Levenshtein	1.1066031455993652
0.3067484662576687	0.2392638036809816	consistency	2300	Levenshtein	1.1066031455993652
0.06166666666666667	0.06166666666666667	retention	2400	Hamming	0.1699986457824707
0.6282051282051282	0.5	purity	2400	Hamming	0.1699986457824707
0.359375	0.125	purity_90	2400	Hamming	0.1699986457824707
0.30128205128205127	0.21794871794871795	consistency	2400	Hamming	0.1699986457824707
0.07375	0.07375	retention	2400	Levenshtein	1.1295795440673828
0.578125	0.4791666666666667	purity	2400	Levenshtein	1.1295795440673828
0.2972972972972973	0.08108108108108109	purity_90	2400	Levenshtein	1.1295795440673828
0.2708333333333333	0.234375	consistency	2400	Levenshtein	1.1295795440673828
0.07	0.07	retention	2500	Hamming	0.1778125762939453
0.6613756613756614	0.5291005291005291	purity	2500	Hamming	0.1778125762939453
0.3972602739726027	0.1643835616438356	purity_90	2500	Hamming	0.1778125762939453
0.25396825396825395	0.19576719576719576	consistency	2500	Hamming	0.1778125762939453
0.0868	0.0868	retention	2500	Levenshtein	1.2275872230529785
0.6150627615062761	0.4769874476987448	purity	2500	Levenshtein	1.2275872230529785
0.36470588235294116	0.09411764705882353	purity_90	2500	Levenshtein	1.2275872230529785
0.2301255230125523	0.1799163179916318	consistency	2500	Levenshtein	1.2275872230529785
0.051923076923076926	0.051923076923076926	retention	2600	Hamming	0.19923162460327148
0.684931506849315	0.5136986301369864	purity	2600	Hamming	0.19923162460327148
0.4098360655737705	0.09836065573770492	purity_90	2600	Hamming	0.19923162460327148
0.2808219178082192	0.2328767123287671	consistency	2600	Hamming	0.19923162460327148
0.06538461538461539	0.06538461538461539	retention	2600	Levenshtein	1.3473448753356934
0.6486486486486487	0.5081081081081081	purity	2600	Levenshtein	1.3473448753356934
0.36486486486486486	0.0945945945945946	purity_90	2600	Levenshtein	1.3473448753356934
0.2756756756756757	0.22162162162162163	consistency	2600	Levenshtein	1.3473448753356934
0.06814814814814815	0.06814814814814815	retention	2700	Hamming	0.19058442115783691
0.6698564593301436	0.49760765550239233	purity	2700	Hamming	0.19058442115783691
0.4177215189873418	0.11392405063291139	purity_90	2700	Hamming	0.19058442115783691
0.2631578947368421	0.18660287081339713	consistency	2700	Hamming	0.19058442115783691
0.08444444444444445	0.08444444444444445	retention	2700	Levenshtein	1.4114727973937988
0.6456692913385826	0.4921259842519685	purity	2700	Levenshtein	1.4114727973937988
0.3723404255319149	0.06382978723404255	purity_90	2700	Levenshtein	1.4114727973937988
0.2440944881889764	0.17716535433070865	consistency	2700	Levenshtein	1.4114727973937988
0.056428571428571425	0.056428571428571425	retention	2800	Hamming	0.17477107048034668
0.6589595375722543	0.47398843930635837	purity	2800	Hamming	0.17477107048034668
0.373134328358209	0.07462686567164178	purity_90	2800	Hamming	0.17477107048034668
0.28901734104046245	0.21965317919075145	consistency	2800	Hamming	0.17477107048034668
0.06928571428571428	0.06928571428571428	retention	2800	Levenshtein	1.4911117553710938
0.6150234741784038	0.4788732394366197	purity	2800	Levenshtein	1.4911117553710938
0.3333333333333333	0.1111111111111111	purity_90	2800	Levenshtein	1.4911117553710938
0.26291079812206575	0.20657276995305165	consistency	2800	Levenshtein	1.4911117553710938
0.05137931034482759	0.05137931034482759	retention	2900	Hamming	0.24488425254821777
0.6666666666666666	0.49382716049382713	purity	2900	Hamming	0.24488425254821777
0.3387096774193548	0.08064516129032258	purity_90	2900	Hamming	0.24488425254821777
0.2962962962962963	0.24074074074074073	consistency	2900	Hamming	0.24488425254821777
0.06413793103448276	0.06413793103448276	retention	2900	Levenshtein	1.7000799179077148
0.5934579439252337	0.42990654205607476	purity	2900	Levenshtein	1.7000799179077148
0.3142857142857143	0.04285714285714286	purity_90	2900	Levenshtein	1.7000799179077148
0.22897196261682243	0.2102803738317757	consistency	2900	Levenshtein	1.7000799179077148
0.05433333333333333	0.05433333333333333	retention	3000	Hamming	0.18991351127624512
0.6861702127659575	0.4734042553191489	purity	3000	Hamming	0.18991351127624512
0.45588235294117646	0.058823529411764705	purity_90	3000	Hamming	0.18991351127624512
0.28191489361702127	0.2127659574468085	consistency	3000	Hamming	0.18991351127624512
0.07	0.07	retention	3000	Levenshtein	1.712552785873413
0.6485355648535565	0.4811715481171548	purity	3000	Levenshtein	1.712552785873413
0.3855421686746988	0.060240963855421686	purity_90	3000	Levenshtein	1.712552785873413
0.2719665271966527	0.23430962343096234	consistency	3000	Levenshtein	1.712552785873413
0.06709677419354838	0.06709677419354838	retention	3100	Hamming	0.21026825904846191
0.6437768240343348	0.463519313304721	purity	3100	Hamming	0.21026825904846191
0.32142857142857145	0.03571428571428571	purity_90	3100	Hamming	0.21026825904846191
0.27896995708154504	0.20600858369098712	consistency	3100	Hamming	0.21026825904846191
0.08225806451612903	0.08225806451612903	retention	3100	Levenshtein	1.7884960174560547
0.593103448275862	0.4482758620689655	purity	3100	Levenshtein	1.7884960174560547
0.26732673267326734	0.04950495049504951	purity_90	3100	Levenshtein	1.7884960174560547
0.2482758620689655	0.18275862068965518	consistency	3100	Levenshtein	1.7884960174560547
0.0621875	0.0621875	retention	3200	Hamming	0.2264401912689209
0.668141592920354	0.48672566371681414	purity	3200	Hamming	0.2264401912689209
0.3902439024390244	0.08536585365853659	purity_90	3200	Hamming	0.2264401912689209
0.2920353982300885	0.19469026548672566	consistency	3200	Hamming	0.2264401912689209
0.08	0.08	retention	3200	Levenshtein	2.076875686645508
0.6354166666666666	0.4444444444444444	purity	3200	Levenshtein	2.076875686645508
0.35	0.04	purity_90	3200	Levenshtein	2.076875686645508
0.2708333333333333	0.17708333333333334	consistency	3200	Levenshtein	2.076875686645508
0.07484848484848484	0.07484848484848484	retention	3300	Hamming	0.22219371795654297
0.6357388316151202	0.48109965635738833	purity	3300	Hamming	0.22219371795654297
0.38	0.1	purity_90	3300	Hamming	0.22219371795654297
0.23024054982817868	0.16151202749140894	consistency	3300	Hamming	0.22219371795654297
0.08484848484848485	0.08484848484848485	retention	3300	Levenshtein	2.0913543701171875
0.6184615384615385	0.4584615384615385	purity	3300	Levenshtein	2.0913543701171875
0.35714285714285715	0.11607142857142858	purity_90	3300	Levenshtein	2.0913543701171875
0.2246153846153846	0.16615384615384615	consistency	3300	Levenshtein	2.0913543701171875
0.06970588235294117	0.06970588235294117	retention	3400	Hamming	0.22805166244506836
