q	nodes	inflation	expansion	retention	purity_r	purity_b	consistency_r	consistency_b
0	18210	1.2	2	0.35526854868603314	0.7350847330306473	0.5258611656059979	0.14353307084008868	0.030539655229461008
1	1442	1.2	2	0.2957948717948718	0.8708217481538881	0.38061656554584955	0.4175759363019758	0.06546741374225892
2	176	1.2	2	0.20608899297423888	0.9355583325551099	0.4812414524639892	0.4883720930232558	0.14825581395348839
