actual,baseline,metrics,s_cluster
1.0,1.0,retention,2
0.671919770773639,0.6487583572110793,purity,2
0.5644569207514576,0.5228892247894623,purity_90,2
0.012750716332378223,0.012464183381088826,consistency,2
1.0,1.0,retention,3
0.6113658070678128,0.5718720152817574,purity,3
0.3894736842105263,0.34299595141700406,purity_90,3
0.014851957975167144,0.012989493791786055,consistency,3
1.0,1.0,retention,4
0.5823304680038205,0.5408309455587392,purity,4
0.28633124595119847,0.24314402936730728,purity_90,4
0.01599808978032474,0.01332378223495702,consistency,4
1.0,1.0,retention,5
0.5680038204393505,0.5225405921680993,purity,5
0.22105263157894736,0.18002699055330634,purity_90,5
0.016809933142311367,0.013276026743075453,consistency,5
1.0,1.0,retention,6
0.556064947468959,0.5149952244508118,purity,6
0.1849692257855523,0.14058956916099774,purity_90,6
0.01728748806112703,0.013276026743075453,consistency,6
1.0,1.0,retention,7
0.5504297994269342,0.5076886341929322,purity,7
0.14814814814814814,0.1107331821617536,purity_90,7
0.018433619866284622,0.014422158548233047,consistency,7
1.0,1.0,retention,8
0.5447946513849092,0.5021012416427889,purity,8
0.12570194384449243,0.09762419006479482,purity_90,8
0.019675262655205347,0.013944603629417383,consistency,8
1.0,1.0,retention,9
0.5410219675262655,0.4993314231136581,purity,9
0.1098153547133139,0.07580174927113703,purity_90,9
0.02058261700095511,0.014660936007640879,consistency,9
1.0,1.0,retention,10
0.5378701050620821,0.49603629417383,purity,10
0.09287257019438445,0.07289416846652268,purity_90,10
0.020105062082139444,0.01489971346704871,consistency,10
1.0,1.0,retention,11
0.5361986628462273,0.4943170964660936,purity,11
0.08194774346793349,0.06353919239904988,purity_90,11
0.021346704871060173,0.014422158548233047,consistency,11
1.0,1.0,retention,12
0.533476599808978,0.4936485195797517,purity,12
0.06869734283862605,0.05184705119896306,purity_90,12
0.02268385864374403,0.015425023877745941,consistency,12
1.0,1.0,retention,13
0.5318529130850048,0.4927889207258835,purity,13
0.05824561403508772,0.04421052631578947,purity_90,13
0.022779369627507165,0.01489971346704871,consistency,13
1.0,1.0,retention,14
0.5308500477554918,0.49097421203438396,purity,14
0.05517762660619804,0.04157218442932729,purity_90,14
0.023304680038204392,0.01489971346704871,consistency,14
1.0,1.0,retention,15
0.5292263610315187,0.4913562559694365,purity,15
0.04777327935222672,0.031578947368421054,purity_90,15
0.023591212989493793,0.015425023877745941,consistency,15
1.0,1.0,retention,16
0.5270773638968481,0.49006685768863417,purity,16
0.03802938634399308,0.025064822817631807,purity_90,16
0.02387774594078319,0.015425023877745941,consistency,16
1.0,1.0,retention,17
0.526647564469914,0.48887297039159505,purity,17
0.03673094582185491,0.023875114784205693,purity_90,17
0.024498567335243554,0.015425023877745941,consistency,17
1.0,1.0,retention,18
0.5247373447946514,0.4897803247373448,purity,18
0.0369290573372206,0.0184645286686103,purity_90,18
0.024498567335243554,0.016045845272206302,consistency,18
1.0,1.0,retention,19
0.525549188156638,0.4893027698185291,purity,19
0.03487179487179487,0.019487179487179488,purity_90,19
