actual	baseline	metrics	method	n	t
1.0050251256281406	1.0050251256281406	retention	Faiss	1000	0.10537481307983398
0.35148514851485146	0.35148514851485146	purity	Faiss	1000	0.10537481307983398
0.0	0.0	purity_90	Faiss	1000	0.10537481307983398
0.35148514851485146	0.35148514851485146	consistency	Faiss	1000	0.10537481307983398
0.020100502512562814	0.020100502512562814	retention	MCL	1000	0.1570587158203125
0.65	0.6	purity	MCL	1000	0.1570587158203125
0.3	0.2	purity_90	MCL	1000	0.1570587158203125
0.5	0.45	consistency	MCL	1000	0.1570587158203125
0.020100502512562814	0.020100502512562814	retention	Two-step	1000	0.13625431060791016
0.65	0.5	purity	Two-step	1000	0.13625431060791016
0.3	0.0	purity_90	Two-step	1000	0.13625431060791016
0.5	0.35	consistency	Two-step	1000	0.13625431060791016
1.0009099181073704	1.0009099181073704	retention	Faiss	1100	0.18897199630737305
0.3457350272232305	0.3457350272232305	purity	Faiss	1100	0.18897199630737305
0.0	0.0	purity_90	Faiss	1100	0.18897199630737305
0.3457350272232305	0.3457350272232305	consistency	Faiss	1100	0.18897199630737305
0.039126478616924476	0.039126478616924476	retention	MCL	1100	0.2707984447479248
0.75	0.5227272727272727	purity	MCL	1100	0.2707984447479248
0.55	0.05	purity_90	MCL	1100	0.2707984447479248
0.4318181818181818	0.3409090909090909	consistency	MCL	1100	0.2707984447479248
0.039126478616924476	0.039126478616924476	retention	Two-step	1100	0.22561359405517578
0.75	0.5227272727272727	purity	Two-step	1100	0.22561359405517578
0.55	0.1	purity_90	Two-step	1100	0.22561359405517578
0.4318181818181818	0.25	consistency	Two-step	1100	0.22561359405517578
1.0025062656641603	1.0025062656641603	retention	Faiss	1200	0.14496397972106934
0.3441127694859038	0.3441127694859038	purity	Faiss	1200	0.14496397972106934
0.0	0.0	purity_90	Faiss	1200	0.14496397972106934
0.3441127694859038	0.3441127694859038	consistency	Faiss	1200	0.14496397972106934
0.045112781954887216	0.045112781954887216	retention	MCL	1200	0.29497623443603516
0.7037037037037037	0.5555555555555556	purity	MCL	1200	0.29497623443603516
0.36	0.12	purity_90	MCL	1200	0.29497623443603516
0.37037037037037035	0.3333333333333333	consistency	MCL	1200	0.29497623443603516
0.045112781954887216	0.045112781954887216	retention	Two-step	1200	0.21535897254943848
0.7037037037037037	0.5740740740740741	purity	Two-step	1200	0.21535897254943848
0.36	0.12	purity_90	Two-step	1200	0.21535897254943848
0.37037037037037035	0.3148148148148148	consistency	Two-step	1200	0.21535897254943848
1.008533747090768	1.008533747090768	retention	Faiss	1300	0.11522722244262695
0.3255287009063444	0.3255287009063444	purity	Faiss	1300	0.11522722244262695
0.0	0.0	purity_90	Faiss	1300	0.11522722244262695
0.3255287009063444	0.3255287009063444	consistency	Faiss	1300	0.11522722244262695
0.03801396431342126	0.03801396431342126	retention	MCL	1300	0.21599149703979492
0.64	0.48	purity	MCL	1300	0.21599149703979492
0.34782608695652173	0.043478260869565216	purity_90	MCL	1300	0.21599149703979492
0.38	0.32	consistency	MCL	1300	0.21599149703979492
0.03801396431342126	0.03801396431342126	retention	Two-step	1300	0.20875144004821777
0.64	0.52	purity	Two-step	1300	0.20875144004821777
0.34782608695652173	0.08695652173913043	purity_90	Two-step	1300	0.20875144004821777
0.38	0.3	consistency	Two-step	1300	0.20875144004821777
1.003584229390681	1.003584229390681	retention	Faiss	1400	0.10898351669311523
0.33617021276595743	0.33617021276595743	purity	Faiss	1400	0.10898351669311523
0.0	0.0	purity_90	Faiss	1400	0.10898351669311523
0.33617021276595743	0.33617021276595743	consistency	Faiss	1400	0.10898351669311523
0.035842293906810034	0.035842293906810034	retention	MCL	1400	0.2133643627166748
0.68	0.5	purity	MCL	1400	0.2133643627166748
0.3333333333333333	0.047619047619047616	purity_90	MCL	1400	0.2133643627166748
0.44	0.38	consistency	MCL	1400	0.2133643627166748
0.035842293906810034	0.035842293906810034	retention	Two-step	1400	0.21037077903747559
0.68	0.5	purity	Two-step	1400	0.21037077903747559
0.3333333333333333	0.047619047619047616	purity_90	Two-step	1400	0.21037077903747559
0.44	0.38	consistency	Two-step	1400	0.21037077903747559
1.0026737967914439	1.0026737967914439	retention	Faiss	1500	0.1125946044921875
0.3282493368700265	0.3282493368700265	purity	Faiss	1500	0.1125946044921875
0.0	0.0	purity_90	Faiss	1500	0.1125946044921875
0.3282493368700265	0.3282493368700265	consistency	Faiss	1500	0.1125946044921875
0.04411764705882353	0.04411764705882353	retention	MCL	1500	0.23244214057922363
0.6716417910447762	0.5373134328358209	purity	MCL	1500	0.23244214057922363
0.3333333333333333	0.1	purity_90	MCL	1500	0.23244214057922363
0.3880597014925373	0.29850746268656714	consistency	MCL	1500	0.23244214057922363
0.04411764705882353	0.04411764705882353	retention	Two-step	1500	0.22469878196716309
0.6716417910447762	0.5373134328358209	purity	Two-step	1500	0.22469878196716309
0.3333333333333333	0.13333333333333333	purity_90	Two-step	1500	0.22469878196716309
0.3880597014925373	0.29850746268656714	consistency	Two-step	1500	0.22469878196716309
1.0037641154328734	1.0037641154328734	retention	Faiss	1600	0.105560302734375
0.3182382133995037	0.3182382133995037	purity	Faiss	1600	0.105560302734375
0.0	0.0	purity_90	Faiss	1600	0.105560302734375
0.3182382133995037	0.3182382133995037	consistency	Faiss	1600	0.105560302734375
0.04203262233375157	0.04203262233375157	retention	MCL	1600	0.25210046768188477
0.7313432835820896	0.5373134328358209	purity	MCL	1600	0.25210046768188477
0.5172413793103449	0.10344827586206896	purity_90	MCL	1600	0.25210046768188477
