method	n_sequences	runtime	retention	purity	consistency
twostep	533	0.118767976760864	0.208255159474672	0.962566844919786	0.524064171122995
twostep	3317	0.577850580215454	0.245703949351824	0.862482369534556	0.497884344146685
twostep	26722	6.52786064147949	0.26105830401916	0.642428867328028	0.195464951488063
ismart	533	0.094928	0.178236397748593	0.942307692307692	0.512820512820513
ismart	3317	2.236945	0.242990654205607	0.89026402640264	0.48019801980198
ismart	26722	355.259423	0.292605343911384	0.683139897666292	0.192187694995632
gliph2	533	5.04971718788147	0.585365853658537	0.944223107569721	0.243027888446215
gliph2	3317	10.3916714191437	0.548688574012662	0.858514543914149	0.185823213781418
gliph2	26722	66.568820476532	0.602499812888257	0.724329205366357	0.05125558995528
