	retention	purity	consistency	threshold
0	0.05226236408277797	0.8296703296703297	0.5769230769230769	10
1	0.05506839705366538	0.8333333333333334	0.5677083333333334	20
2	0.061732725359522976	0.7962085308056872	0.5308056872037915	30
3	0.06944931602946335	0.7883817427385892	0.48132780082987553	40
4	0.08067344791301298	0.7634408602150538	0.4551971326164875	50
5	0.1052262364082778	0.7102272727272727	0.39488636363636365	60
6	0.12241318835496318	0.6894865525672371	0.3545232273838631	70
7	0.17151876534549282	0.6199649737302977	0.29071803852889666	80
8	0.21746755524377412	0.6337135614702155	0.2788339670468948	90
9	0.2641178533847773	0.6292929292929293	0.23737373737373738	100
10	0.30585759382672745	0.6056338028169014	0.22359154929577466	110
11	0.3626797614871975	0.5496588324488249	0.2001516300227445	120
12	0.43668888109435283	0.5151515151515151	0.1830808080808081	130
13	0.5187653454928095	0.46124661246612464	0.16910569105691056	140
14	0.6015433181339881	0.3901532745006967	0.15373896888063168	150
15	0.6965976850227991	0.32004782781984853	0.14109206855320844	160
16	0.7783233952998948	0.2618374558303887	0.1420494699646643	170
17	0.843563661873027	0.21652421652421652	0.15352959797404242	180
18	0.8951245177130831	0.1810344827586207	0.1426872770511296	190
19	0.9372150122763943	0.15509854327335046	0.13767495001428162	200
20	0.9656260961066293	0.13533834586466165	0.12837649679754942	210
21	0.9849175727814802	0.125	0.12116228070175439	220
22	0.9989477376359173	0.11962110960757781	0.1182679296346414	230
